"Value Research Online"
"Date: 01-Apr-2018 13:10"
"Fund","Rating","Fund Risk Grade","Standard Deviation","Sharpe Ratio","Sortino Ratio","Beta","Alpha","R-Squared"
"Aditya Birla Sun Life Cash Plus","* * * ","-","0.26","16.31","44.96","0.54","3.44","0.38"
"Aditya Birla Sun Life Cash Plus - Direct Plan","* * * * ","-","0.26","16.63","45.41","0.54","3.52","0.38"
"Aditya Birla Sun Life Constant Maturity 10 Year Gilt Fund - Direct Plan","* * ","Average","4.42","0.51","0.82","0.78","-0.63","0.84"
"Aditya Birla Sun Life Constant Maturity 10 Year Gilt Fund - Regular Plan","* * ","Average","4.42","0.49","0.8","0.78","-0.74","0.85"
"Aditya Birla Sun Life Floating Rate Fund - Short Term Plan","* * * * ","-","0.26","16.54","37.18","0.53","3.49","0.37"
"Aditya Birla Sun Life Floating Rate Fund - Short Term Plan - Direct Plan","* * * * * ","-","0.26","17.01","38.48","0.52","3.59","0.36"
"Aditya Birla Sun Life Gilt Plus - PF Plan","* * * ","Above Average","6.17","0.7","1.22","1.16","0.01","0.95"
"Aditya Birla Sun Life Gilt Plus - PF Plan - Direct Plan","* * * ","Above Average","6.16","0.79","1.37","1.16","0.55","0.96"
"Axis Constant Maturity 10 Year Fund","* * ","Average","4.66","0.56","0.82","0.88","-0.64","0.96"
"Axis Constant Maturity 10 Year Fund - Direct Plan","* * ","Average","4.67","0.67","0.99","0.88","-0.12","0.96"
"Axis Liquid Fund","* * * ","-","0.23","18.21","56.43","0.5","3.49","0.4"
"Axis Liquid Fund - Direct Plan","* * * * ","-","0.23","18.57","55.86","0.5","3.56","0.4"
"Baroda Pioneer Gilt Fund","* * ","Average","4.45","0.6","0.92","0.83","-0.43","0.95"
"Baroda Pioneer Gilt Fund - Direct Plan","* * * ","Below Average","4.45","0.77","1.19","0.83","0.33","0.95"
"Baroda Pioneer Liquid Fund","* * * ","-","0.27","15.99","41.32","0.59","3.38","0.43"
"Baroda Pioneer Liquid Fund - Direct Plan","* * * * * ","-","0.27","16.33","41.11","0.6","3.48","0.43"
"BNP Paribas Overnight Fund","* * * ","-","0.24","17.36","40.68","0.54","3.34","0.44"
"BNP Paribas Overnight Fund - Direct Plan","* * * ","-","0.24","17.8","43.32","0.54","3.43","0.44"
"BOI AXA Liquid - Unclaimed","Unrated","-","-","-","-","-","-","-"
"BOI AXA Liquid Fund - Direct Plan","* * * * ","-","0.24","18.35","54.91","0.52","3.53","0.42"
"BOI AXA Liquid Fund - Regular Plan","* * * ","-","0.23","18.05","53.72","0.51","3.43","0.42"
"Canara Robeco Gilt PGS Fund - Direct Plan","* * * * * ","Average","5.4","0.83","1.88","0.98","0.85","0.89"
"Canara Robeco Gilt PGS Fund - Regular Plan","* * * * ","Average","5.39","0.73","1.64","0.98","0.29","0.89"
"Canara Robeco Liquid Fund - Direct Plan","* * ","-","0.24","17.04","60.9","0.54","3.31","0.43"
"Canara Robeco Liquid Fund - Regular Plan","* * ","-","0.24","17.01","59.45","0.53","3.28","0.43"
"DHFL Pramerica Gilt Fund","* * * * ","Low","3.14","1.3","1.98","0.58","1.91","0.93"
"DHFL Pramerica Gilt Fund - Direct Plan","* * * * ","Low","3.14","1.38","2.09","0.58","2.16","0.93"
"DHFL Pramerica Insta Cash Plus Fund","* * * ","-","0.25","16.98","39.14","0.55","3.44","0.41"
"DHFL Pramerica Insta Cash Plus Fund - Direct Plan","* * * * ","-","0.25","17.18","39.5","0.55","3.49","0.41"
"DSP BlackRock 10Y G-Sec Fund - Direct Plan","* * * ","Below Average","4.52","0.8","1.38","0.83","0.56","0.91"
"DSP BlackRock 10Y G-Sec Fund - Regular Plan","* * * ","Average","4.52","0.75","1.29","0.83","0.31","0.91"
"DSP BlackRock Government Securities Fund","* * * ","Average","5.23","0.57","0.97","0.97","-0.63","0.93"
"DSP BlackRock Government Securities Fund - Direct Plan","* * * ","Average","5.22","0.66","1.12","0.97","-0.15","0.93"
"DSP BlackRock Liquid ETF - Regular Plan","Unrated","-","-","-","-","-","-","-"
"DSP BlackRock Liquidity Fund - Direct Plan","* * * * ","-","0.25","17.55","45.96","0.57","3.42","0.48"
"DSP BlackRock Liquidity Fund - Regular Plan","* * ","-","0.25","16.76","44.12","0.58","3.3","0.48"
"DSP BlackRock Savings Fund","* * ","Below Average","0.33","10.23","21.15","0.03","3.25","0.29"
"DSP BlackRock Savings Fund - Direct Plan","* * * ","Low","0.33","10.92","22.3","0.03","3.5","0.29"
"Edelweiss Government Securities Fund - Direct Plan","* * * * ","Low","3.09","1.32","2.57","0.48","2.28","0.66"
"Edelweiss Government Securities Fund - Regular Plan","* * * * ","Low","3.08","1.16","2.25","0.48","1.78","0.66"
"Edelweiss Liquid Fund - Direct Plan","* * ","-","0.24","16.91","39.45","0.39","3.39","0.24"
"Edelweiss Liquid Fund - Regular Plan","* * ","-","0.24","16.31","38.92","0.39","3.29","0.24"
"Escorts Gilt Fund","Unrated","-","3.36","1.05","1.6","0.6","1.31","0.85"
"Escorts Gilt Fund - Direct Plan","Unrated","-","3.36","1.05","1.6","0.6","1.31","0.85"
"Escorts Liquid - Direct Plan","* * * * * ","-","0.27","16.39","33.85","0.5","3.72","0.29"
"Escorts Liquid Plan","* * * * * ","-","0.28","16.13","35.75","0.5","3.7","0.29"
"Essel Liquid Fund - Direct Plan","* * * * * ","-","0.23","19.62","40.3","0.49","3.67","0.42"
"Essel Liquid Fund - Regular Plan","* * * * * ","-","0.23","19.07","39.64","0.5","3.56","0.42"
"Franklin India Cash Management Account Fund","* ","-","0.16","18.98","33.33","0.22","2.6","0.18"
"Franklin India Cash Management Account Fund - Direct Plan","* * ","-","0.17","21.89","44.39","0.33","3.19","0.33"
"Franklin India Government Securities Fund - Composite Plan","* ","High","6.35","0.27","0.44","1.2","-2.71","0.96"
"Franklin India Government Securities Fund - Composite Plan - Direct Plan","* * ","Above Average","6.36","0.45","0.72","1.2","-1.6","0.96"
"Franklin India Government Securities Fund - Long Term Plan","* ","High","6.59","0.28","0.45","1.24","-2.79","0.96"
"Franklin India Government Securities Fund - Long Term Plan - Direct Plan","* ","Above Average","6.59","0.44","0.7","1.24","-1.73","0.96"
"Franklin India Government Securities Fund - PF Plan","* ","High","6.35","0.27","0.44","1.2","-2.71","0.96"
"Franklin India Government Securities Fund - PF Plan - Direct Plan","* * ","Above Average","-","-","-","-","-","-"
"Franklin India Treasury Management Account Fund - Direct Plan","* * * * ","-","0.28","15.97","43.64","0.63","3.42","0.46"
