"Value Research Online"
"Date: 26-Mar-2018 00:31"
"Fund","Rating","Category","Launch","Expense Ratio (%)","3-Year Return (%)","3-Year Rank","Net Assets (Cr)"
"ICICI Prudential Gilt Fund - Treasury Plan - PF Option - Direct Plan","* * * * ","GL-ST     ","Jan 01, 2013","0.06","10.17","1/14","39.22"
"ICICI Prudential Gilt Fund - Treasury Plan - PF Option","* * * ","GL-ST     ","Feb 11, 2004","0.55","9.66","2/14","39.22"
"SBI Magnum Gilt Fund - Short Term Plan - Direct Plan","* * * * * ","GL-ST     ","Jan 01, 2013","0.35","9.15","3/14","434.48"
"Reliance Gilt Securities Fund - Direct Plan","* * * * * ","GL-MLT    ","Jan 01, 2013","0.57","8.95","1/68","1005.81"
"SBI Magnum Gilt Fund - Short Term Plan","* * * * ","GL-ST     ","Dec 23, 2000","0.65","8.77","4/14","434.48"
"ICICI Prudential Short Term Fund - Gilt Plan - Direct Plan","* * * ","GL-ST     ","Jan 01, 2013","0.29","8.55","5/14","143.43"
"Aditya Birla Sun Life Gilt Plus - PF Plan - Direct Plan","* * * ","GL-MLT    ","Jan 01, 2013","0.88","8.38","2/68","139.01"
"ICICI Prudential Gilt Fund - Investment Plan - PF Option - Direct Plan","* * * * ","GL-MLT    ","Jan 01, 2013","0.5","8.35","3/68","629.74"
"L&T Gilt Fund - Investment Plan - Direct Plan","* * * * ","GL-MLT    ","Jan 01, 2013","0.44","8.35","4/68","157.02"
"IDFC Government Securities Fund - Short Term Plan - Direct Plan","* * * * ","GL-ST     ","Jan 01, 2013","0.34","8.33","6/14","60.52"
"SBI Magnum Gilt Fund - Long Term Plan - Direct Plan","* * * * * ","GL-MLT    ","Jan 01, 2013","0.43","8.23","5/68","2241.73"
"IDFC Government Securities Fund - Short Term Plan - Regular Plan","* * * * ","GL-ST     ","Mar 09, 2002","0.39","8.18","7/14","60.52"
"ICICI Prudential Long Term Gilt Fund - Direct Plan","* * * ","GL-MLT    ","Jan 01, 2013","0.51","8.18","6/68","831.06"
"Canara Robeco Gilt PGS Fund - Direct Plan","* * * * * ","GL-MLT    ","Jan 02, 2013","0.65","8.17","7/68","62.46"
