"Value Research Online"
"Date: 01-Apr-2018 13:07"
"Fund","Rating","Fund Risk Grade","Standard Deviation","Sharpe Ratio","Sortino Ratio","Beta","Alpha","R-Squared"
"Aditya Birla Sun Life Dividend Yield Plus Fund","* ","High","14.37","0.32","0.52","0.93","0.21","0.78"
"Aditya Birla Sun Life Dividend Yield Plus Fund - Direct Plan","* ","Above Average","14.38","0.38","0.61","0.93","1.03","0.78"
"Aditya Birla Sun Life Frontline Equity Fund","* * * * ","Below Average","12.91","0.48","0.72","0.92","1.88","0.94"
"Aditya Birla Sun Life Frontline Equity Fund - Direct Plan","* * * * * ","Below Average","12.93","0.56","0.84","0.92","2.89","0.94"
"Aditya Birla Sun Life Index Fund","* * ","Above Average","13.46","0.27","0.45","0.99","-0.99","1"
"Aditya Birla Sun Life Index Fund - Direct Plan","* * ","Above Average","13.46","0.29","0.48","0.98","-0.73","1"
"Aditya Birla Sun Life Mid Cap Fund","* * * ","Average","16.24","0.72","1.01","0.99","7.05","0.7"
"Aditya Birla Sun Life Mid Cap Fund - Direct Plan","* * * ","Average","16.25","0.78","1.08","0.99","7.94","0.7"
"Aditya Birla Sun Life Nifty ETF Fund","* * * ","Average","13.32","0.37","0.6","0.98","0.37","1"
"Aditya Birla Sun Life Pure Value Fund","* * * * ","Above Average","17.92","0.9","1.39","1.07","10.99","0.67"
"Aditya Birla Sun Life Pure Value Fund - Direct Plan","* * * * * ","Above Average","17.94","0.95","1.48","1.07","12.03","0.67"
"Aditya Birla Sun Life Sensex ETF","Unrated","-","-","-","-","-","-","-"
"Aditya Birla Sun Life Small & Midcap Fund","* * ","Average","17.51","0.97","1.45","1.02","12.08","0.63"
"Aditya Birla Sun Life Small & Midcap Fund - Direct Plan","* * * ","Average","17.52","1.02","1.53","1.02","13.04","0.64"
"Aditya Birla Sun Life Top 100 Fund","* * * * ","Below Average","12.99","0.47","0.7","0.91","1.75","0.92"
"Aditya Birla Sun Life Top 100 Fund - Direct Plan","* * * * ","Below Average","13.02","0.55","0.83","0.92","2.86","0.93"
"Axis Equity Fund","* * * ","Below Average","12.77","0.42","0.56","0.87","1.18","0.87"
"Axis Equity Fund - Direct Plan","* * * * ","Below Average","12.78","0.5","0.67","0.87","2.31","0.87"
"Axis Midcap Fund","* ","Above Average","14.73","0.52","0.66","0.82","3.72","0.58"
"Axis Midcap Fund - Direct Plan","* * ","Above Average","14.72","0.6","0.76","0.82","4.88","0.58"
"Axis Nifty ETF - Regular Plan","Unrated","-","-","-","-","-","-","-"
"Baroda Pioneer Infrastructure Fund - Direct Plan","Unrated","-","16.08","0.21","0.3","1.05","-1.57","0.79"
"Baroda Pioneer Large Cap Fund","Unrated","-","16.08","0.17","0.24","1.05","-2.26","0.79"
"Baroda Pioneer Midcap Fund","Unrated","-","18.18","0.13","0.18","1","-2.45","0.57"
"Baroda Pioneer PSU Equity Fund - Direct Plan","Unrated","-","18.14","0.17","0.24","1","-1.67","0.57"
"BHARAT 22 ETF","Unrated","-","-","-","-","-","-","-"
"BNP Paribas Dividend Yield Fund","* * * ","Below Average","14.72","0.58","0.9","0.92","4.22","0.74"
"BNP Paribas Dividend Yield Fund - Direct Plan","* * * ","Below Average","14.73","0.7","1.08","0.93","5.88","0.74"
"BNP Paribas Focused 25 Equity Fund - Direct Plan","Unrated","-","-","-","-","-","-","-"
