"Value Research Online"
"Date: 06-Apr-2018 11:21"
"Fund","Rating","Fund Risk Grade","Standard Deviation","Sharpe Ratio","Sortino Ratio","Beta","Alpha","R-Squared"
"Aditya Birla Sun Life Tax Plan","* * * * ","Low","13.07","0.67","0.91","0.83","4.55","0.74"
"Aditya Birla Sun Life Tax Plan - Direct Plan","* * * * * ","Low","13.08","0.75","1.02","0.83","5.63","0.75"
"Aditya Birla Sun Life Tax Relief 96","* * * * * ","Low","13.28","0.7","0.93","0.85","4.97","0.75"
"Aditya Birla Sun Life Tax Relief 96 - Direct Plan","* * * * * ","Low","13.31","0.77","1.03","0.85","5.9","0.75"
"Aditya Birla Sun Life Tax Savings Fund","* * * * ","Below Average","13.34","0.68","0.91","0.86","4.71","0.76"
"Aditya Birla Sun Life Tax Savings Fund - Direct Plan","* * * * ","Below Average","13.3","0.69","0.93","0.85","4.85","0.76"
"Axis Long Term Equity Fund","* * * * ","Low","12.05","0.54","0.77","0.8","2.44","0.81"
"Axis Long Term Equity Fund - Direct Plan","* * * * * ","Low","12.07","0.63","0.9","0.8","3.54","0.81"
"Baroda Pioneer ELSS 96 Fund","* * ","Above Average","14.29","0.32","0.48","0.94","-0.26","0.79"
"Baroda Pioneer ELSS 96 Fund - Direct Plan","* * ","Above Average","14.31","0.39","0.6","0.94","0.77","0.79"
"BNP Paribas Long Term Equity Fund","* * ","Above Average","15.1","0.25","0.37","0.99","-1.22","0.79"
"BNP Paribas Long Term Equity Fund - Direct Plan","* * * ","Above Average","15.12","0.31","0.45","0.99","-0.37","0.79"
"BOI AXA Tax Advantage Fund - Direct Plan","* * * * ","Below Average","14.41","0.76","1.1","0.91","6.35","0.72"
"BOI AXA Tax Advantage Fund - Regular Plan","* * * * ","Below Average","14.4","0.66","0.95","0.9","4.85","0.72"
"Canara Robeco Equity Tax Saver Fund - Direct Plan","* ","Above Average","14.41","0.37","0.48","0.99","0.24","0.86"
"Canara Robeco Equity Tax Saver Fund - Regular Plan","* ","Above Average","14.4","0.32","0.42","0.99","-0.44","0.86"
"DHFL Pramerica Long Term Equity Fund - Direct Plan","Unrated","-","-","-","-","-","-","-"
"DHFL Pramerica Long Term Equity Fund - Regular Plan","Unrated","-","-","-","-","-","-","-"
"DHFL Pramerica Tax Plan","* * * ","Below Average","13.26","0.56","0.92","0.91","2.84","0.86"
"DHFL Pramerica Tax Plan - Direct Plan","* * * ","Below Average","13.31","0.67","1.1","0.91","4.33","0.86"
"DSP BlackRock Tax Saver Fund","* * * * ","Average","14.93","0.61","0.95","1.01","3.89","0.84"
"DSP BlackRock Tax Saver Fund - Direct Plan","* * * * ","Below Average","14.93","0.67","1.04","1.01","4.8","0.85"
"Edelweiss Long Term Equity Fund (Tax Savings) - Direct Plan","* * * ","Average","14.04","0.49","0.75","0.95","2.12","0.83"
"Edelweiss Long Term Equity Fund (Tax Savings) - Regular Plan","* * * ","Average","14.01","0.43","0.68","0.94","1.31","0.83"
"Edelweiss Tax Advantage Fund - Direct Plan","* * * ","Average","13.51","0.47","0.71","0.97","1.46","0.94"
"Edelweiss Tax Advantage Fund - Regular Plan","* * ","Average","13.51","0.41","0.61","0.97","0.6","0.94"
"Escorts Tax Plan","* * * * ","Average","14.85","0.83","1.21","0.91","7.73","0.68"
"Escorts Tax Plan - Direct Plan","* * * * ","Average","14.79","0.84","1.23","0.9","7.85","0.68"
"Essel Long Term Advantage Fund - Direct Plan","Unrated","-","-","-","-","-","-","-"
"Essel Long Term Advantage Fund - Regular Plan","Unrated","-","-","-","-","-","-","-"
"Franklin India Taxshield Fund","* * * ","Below Average","12.26","0.42","0.67","0.86","0.86","0.89"
"Franklin India Taxshield Fund - Direct Plan","* * * ","Low","12.27","0.51","0.8","0.86","1.85","0.89"
"HDFC Long Term Advantage Fund","* * * ","Average","14.64","0.6","0.98","1.03","3.58","0.91"
"HDFC Long Term Advantage Fund - Direct Plan","* * * ","Average","14.66","0.65","1.05","1.04","4.22","0.91"
"HDFC Retirement Savings Fund - Equity Plan - Direct Plan","Unrated","-","-","-","-","-","-","-"
"HDFC Retirement Savings Fund-Equity Plan - Regular Plan","Unrated","-","-","-","-","-","-","-"
"HDFC Taxsaver Fund","* ","High","16.57","0.36","0.59","1.12","0.34","0.83"
"HDFC Taxsaver Fund - Direct Plan","* * ","High","16.59","0.4","0.66","1.12","0.98","0.83"
"HSBC Tax Saver Equity Fund","* * * ","Above Average","15.22","0.55","0.78","1.03","3.14","0.83"
"HSBC Tax Saver Equity Fund - Direct Plan","* * * ","Average","15.23","0.6","0.85","1.03","3.85","0.83"
"ICICI Prudential Long Term Equity Fund (Tax Saving)","* * ","Average","12.91","0.48","0.68","0.82","2.03","0.74"
"ICICI Prudential Long Term Equity Fund (Tax Saving) - Direct Plan","* * * ","Average","12.94","0.57","0.81","0.83","3.21","0.75"
"IDBI Equity Advantage Fund - Direct Plan","* * * ","Below Average","12.51","0.53","0.78","0.75","2.76","0.66"
"IDBI Equity Advantage Fund - Regular Plan","* * ","Below Average","12.47","0.43","0.64","0.75","1.55","0.66"
"IDFC Tax Advantage (ELSS) Fund - Direct Plan","* * * * * ","Below Average","14.95","0.71","0.95","1","5.57","0.81"
"IDFC Tax Advantage (ELSS) Fund - Regular Plan","* * * * ","Below Average","14.93","0.64","0.85","0.99","4.45","0.81"
"Indiabulls Tax Savings Fund - Direct Plan","Unrated","-","-","-","-","-","-","-"
"Indiabulls Tax Savings Fund - Regular Plan","Unrated","-","-","-","-","-","-","-"
"Invesco India Tax Plan","* * * ","Average","14.16","0.5","0.72","1","2","0.92"
"Invesco India Tax Plan - Direct Plan","* * * * ","Below Average","14.18","0.62","0.89","1.01","3.68","0.92"
"JM Tax Gain Fund","* * * ","High","14.36","0.58","0.88","0.96","3.51","0.81"
"JM Tax Gain Fund - Direct Plan","* * * ","Above Average","14.38","0.7","1.06","0.96","5.22","0.81"
"Kotak Tax Saver - Direct Plan","* * * ","Above Average","14.51","0.52","0.84","0.99","2.47","0.85"
"Kotak Tax Saver Regular Plan","* * ","High","14.48","0.42","0.68","0.98","1.03","0.85"
"L&T Tax Advantage Fund","* * * * ","Below Average","13.77","0.75","1.05","0.94","5.61","0.85"
"L&T Tax Advantage Fund - Direct Plan","* * * * * ","Below Average","13.77","0.81","1.13","0.94","6.34","0.85"
"LIC MF Tax Plan","* * ","Average","13.76","0.36","0.59","0.93","0.19","0.84"
"LIC MF Tax Plan - Direct Plan","* * ","Average","13.82","0.42","0.7","0.94","1.07","0.84"
"Mahindra Mutual Fund Kar Bachat Yojana - Direct Plan","Unrated","-","-","-","-","-","-","-"
"Mahindra Mutual Fund Kar Bachat Yojana - Regular Plan","Unrated","-","-","-","-","-","-","-"
"Mirae Asset Tax Saver Fund - Direct Plan","Unrated","-","-","-","-","-","-","-"
"Mirae Asset Tax Saver Fund - Regular Plan","Unrated","-","-","-","-","-","-","-"
"Motilal Oswal Long Term Equity Fund - Direct Plan","* * * * * ","Low","13.79","1.19","1.6","0.87","12.06","0.73"
"Motilal Oswal Long Term Equity Fund - Regular Plan","* * * * * ","Low","13.77","1.09","1.46","0.87","10.62","0.72"
"Principal Personal Tax Saver Fund","* ","Above Average","14.81","0.34","0.53","1.04","-0.22","0.91"
"Principal Personal Tax Saver Fund - Direct Plan","* * ","Above Average","14.82","0.38","0.59","1.04","0.41","0.91"
"Principal Tax Savings Fund","* * * * ","Above Average","16.8","0.67","0.9","1.15","5.37","0.85"
"Principal Tax Savings Fund - Direct Plan","* * * * ","Above Average","16.79","0.69","0.93","1.15","5.82","0.85"
"Quantum Tax Saving - Regular Plan #","* * * ","Average","-","-","-","-","-","-"
"Quantum Tax Saving Fund - Direct Plan","* * * ","Average","13.53","0.53","0.8","0.95","2.41","0.91"
"Reliance Tax Saver (ELSS) Fund","* * * ","High","17.84","0.26","0.42","1.18","-1.31","0.8"
"Reliance Tax Saver (ELSS) Fund - Direct Plan","* * * ","High","17.87","0.31","0.49","1.18","-0.49","0.8"
"SBI Magnum Taxgain Scheme","* * ","Average","13.93","0.29","0.44","0.99","-0.95","0.93"
"SBI Magnum Taxgain Scheme - Direct Plan","* * * ","Average","13.94","0.34","0.5","0.99","-0.32","0.93"
"Sundaram Diversified Equity Fund","* * * ","Above Average","16.08","0.52","0.73","1.08","2.85","0.82"
"Sundaram Diversified Equity Fund - Direct Plan","* * * ","Above Average","16.1","0.55","0.77","1.08","3.31","0.82"
"Tata India Tax Savings Fund","* * * * * ","Below Average","15.43","0.63","0.88","1","4.59","0.78"
"Tata India Tax Savings Fund - Direct Plan","* * * * * ","Below Average","15.45","0.7","0.98","1.01","5.72","0.78"
