"Value Research Online"
"Date: 06-Apr-2018 11:20"
"Fund","Rating","Category","Launch","Expense Ratio (%)","3-Year Return (%)","3-Year Rank","Net Assets (Cr)"
"Motilal Oswal Long Term Equity Fund - Direct Plan","* * * * * ","EQ-TS     ","Jan 21, 2015","1.45","20.09","1/71","851.89"
"Motilal Oswal Long Term Equity Fund - Regular Plan","* * * * * ","EQ-TS     ","Jan 21, 2015","2.64","18.39","2/71","851.89"
"Escorts Tax Plan - Direct Plan","* * * * ","EQ-TS     ","Jan 01, 2013","-","16.05","3/71","7.63"
"Escorts Tax Plan","* * * * ","EQ-TS     ","Apr 01, 2000","-","15.92","4/71","7.63"
"Principal Tax Savings Fund - Direct Plan","* * * * ","EQ-TS     ","Jan 02, 2013","1.9","14.9","5/71","384.67"
"BOI AXA Tax Advantage Fund - Direct Plan","* * * * ","EQ-TS     ","Jan 01, 2013","1.67","14.71","6/71","145.05"
"Principal Tax Savings Fund","* * * * ","EQ-TS     ","Mar 31, 1996","2.45","14.4","7/71","384.67"
"L&T Tax Advantage Fund - Direct Plan","* * * * * ","EQ-TS     ","Jan 01, 2013","1.54","14.36","8/71","2988.57"
"Tata India Tax Savings Fund - Direct Plan","* * * * * ","EQ-TS     ","Jan 01, 2013","1.48","14.01","9/71","1267.25"
"IDFC Tax Advantage (ELSS) Fund - Direct Plan","* * * * * ","EQ-TS     ","Jan 01, 2013","1.09","13.6","10/71","1084.21"
"Aditya Birla Sun Life Tax Relief 96 - Direct Plan","* * * * * ","EQ-TS     ","Jan 01, 2013","0.97","13.6","11/71","5032.37"
"L&T Tax Advantage Fund","* * * * ","EQ-TS     ","Feb 27, 2006","2.06","13.53","12/71","2988.57"
"Aditya Birla Sun Life Tax Plan - Direct Plan","* * * * * ","EQ-TS     ","Jan 01, 2013","1.29","13.32","13/71","682.6"
"JM Tax Gain Fund - Direct Plan","* * * ","EQ-TS     ","Jan 01, 2013","-","13.28","14/71","32.12"
