"Value Research Online"
"Date: 26-Mar-2018 00:30"
"Fund","Rating","Category","Launch","Expense Ratio (%)","3-Year Return (%)","3-Year Rank","Net Assets (Cr)"
"SBI Small & Midcap Fund - Direct Plan","* * * * * ","EQ-SC     ","Jan 01, 2013","1.39","26.01","1/20","849.74"
"SBI Small & Midcap Fund","* * * * * ","EQ-SC     ","Sep 09, 2009","2.3","24.46","2/20","849.74"
"L&T Emerging Businesses Fund - Direct Plan","* * * * ","EQ-SC     ","May 12, 2014","1.58","23.89","3/20","4285.61"
"Reliance Small Cap Fund - Direct Plan","* * * ","EQ-SC     ","Jan 01, 2013","1","23.11","4/20","6612.86"
"L&T Emerging Businesses Fund","* * * * ","EQ-SC     ","May 12, 2014","2.1","22.99","5/20","4285.61"
"Reliance Small Cap Fund","* * * ","EQ-SC     ","Sep 16, 2010","2","21.79","6/20","6612.86"
"HDFC Small Cap Fund - Direct Plan","* * * ","EQ-SC     ","Jan 01, 2013","1.17","21.18","7/20","2669.86"
"Aditya Birla Sun Life Small & Midcap Fund - Direct Plan","* * * ","EQ-SC     ","Jan 01, 2013","1.1","19.73","8/20","2069.73"
"HDFC Small Cap Fund - Regular Plan","* * * ","EQ-SC     ","Apr 03, 2008","2.37","19.7","9/20","2669.86"
"Aditya Birla Sun Life Small & Midcap Fund","* * ","EQ-SC     ","May 31, 2007","2.4","18.58","10/20","2069.73"
"Aditya Birla Sun Life Pure Value Fund - Direct Plan","* * * * * ","EQ-MC     ","Jan 01, 2013","1.05","18.23","1/87","3263.16"
"L&T Midcap Fund - Direct Plan","* * * * * ","EQ-MC     ","Jan 01, 2013","1.55","17.99","2/87","2312.67"
"DSP BlackRock Small Cap Fund - Direct Plan","* * * * ","EQ-SC     ","Jan 01, 2013","2.03","17.9","11/20","6206.38"
"Mirae Asset Emerging Bluechip Fund - Direct Plan","* * * * * ","EQ-MC     ","Jan 01, 2013","1.68","17.79","3/87","5131.36"
"DSP BlackRock Small Cap Fund - Regular Plan","* * * ","EQ-SC     ","Jun 14, 2007","2.39","17.2","12/20","6206.38"
"Aditya Birla Sun Life Pure Value Fund","* * * * ","EQ-MC     ","Mar 27, 2008","2.35","17.01","4/87","3263.16"
"L&T Midcap Fund","* * * * * ","EQ-MC     ","Aug 09, 2004","2.17","17","5/87","2312.67"
"Canara Robeco Emerging Equities Fund - Direct Plan","* * * * * ","EQ-MC     ","Jan 02, 2013","0.91","16.84","6/87","3235.23"
"Mirae Asset Emerging Bluechip Fund - Regular Plan","* * * * * ","EQ-MC     ","Jul 09, 2010","2.24","16.84","7/87","5131.36"
"Franklin India Smaller Companies Fund - Direct Plan","* * * * ","EQ-SC     ","Jan 01, 2013","1.17","16.29","13/20","7128.27"
"HSBC Small Cap Equity Fund - Direct Plan","* * ","EQ-SC     ","Jan 01, 2013","1.68","16.24","14/20","649.97"
