"Value Research Online"
"Date: 01-Apr-2018 13:10"
"Fund","Rating","Fund Risk Grade","Standard Deviation","Sharpe Ratio","Sortino Ratio","Beta","Alpha","R-Squared"
"HDFC Retirement Savings Fund - Equity Plan - Direct Plan","Unrated","-","-","-","-","-","-","-"
"HDFC Retirement Savings Fund-Equity Plan - Regular Plan","Unrated","-","-","-","-","-","-","-"
"Reliance Retirement Fund - Wealth Creation Scheme","* * * ","Below Average","14.24","0.49","0.61","0.99","2.01","0.88"
"Reliance Retirement Fund - Wealth Creation Scheme - Direct Plan","* * * * ","Below Average","14.27","0.6","0.74","0.99","3.52","0.88"
"Tata Retirement Savings Fund - Progressive Plan - Direct Plan","* * * * * ","Below Average","15.76","0.77","1.05","1.01","6.99","0.75"
"Tata Retirement Savings Fund - Progressive Plan - Regular Plan","* * * * ","Average","15.76","0.67","0.92","1.01","5.51","0.75"
"Franklin India Pension Fund","* * ","Above Average","6.3","0.59","1.04","0.51","2.03","0.77"
"Franklin India Pension Fund - Direct Plan","* * * ","Above Average","6.31","0.71","1.25","0.51","2.79","0.77"
"HDFC Retirement Savings Fund - Hybrid Debt Plan - Direct Plan","Unrated","-","-","-","-","-","-","-"
"HDFC Retirement Savings Fund - Hybrid Debt Plan - Regular Plan","Unrated","-","-","-","-","-","-","-"
"HDFC Retirement Savings Fund - Hybrid Equity Plan - Direct Plan","Unrated","-","-","-","-","-","-","-"
"HDFC Retirement Savings Fund - Hybrid Equity Plan - Regular Plan","Unrated","-","-","-","-","-","-","-"
"Reliance Retirement Fund - Income Generation Scheme","* ","Above Average","5.77","0.6","0.92","1.09","0.72","0.61"
"Reliance Retirement Fund - Income Generation Scheme - Direct Plan","* * * ","Above Average","5.79","0.86","1.32","1.09","2.23","0.61"
"Tata Retirement Savings Fund - Conservative Plan - Direct Plan","* * * * * ","Below Average","5.25","1.32","2.2","0.4","5.61","0.68"
"Tata Retirement Savings Fund - Conservative Plan - Regular Plan","* * * * ","Below Average","5.25","1.05","1.73","0.4","4.15","0.68"
"Tata Retirement Savings Fund - Moderate Plan - Direct Plan","* * * * * ","Average","11.81","0.86","1.28","0.95","6.98","0.74"
"Tata Retirement Savings Fund - Moderate Plan - Regular Plan","* * * * * ","Average","11.81","0.75","1.12","0.95","5.75","0.75"
"UTI Retirement Benefit Pension Fund","* * * ","Above Average","6.06","0.99","1.44","0.52","4.27","0.84"
"UTI Retirement Benefit Pension Fund - Direct Plan","* * * * ","Average","6.06","1.09","1.58","0.52","4.88","0.84"
"# Rating is provisional"
